Country,Item,Year,Yield (100 hg/ha),Pesticides (Tons),Rainfall (mm),NPK Fertilizers (Tons)
Denmark,Potatoes,2019,424815,2660.87,703.0,284965.83
Dominican Republic,Potatoes,2009,219707,5975.25,1410.0,8588.0
Dominican Republic,Potatoes,2010,237316,6316.61,1410.0,711.12
Dominican Republic,Potatoes,2011,236186,6384.22,1410.0,1096.22
Dominican Republic,Potatoes,2012,242634,6451.83,1410.0,539.0
Dominican Republic,Potatoes,2013,256603,6519.43,1410.0,768.0
Dominican Republic,Potatoes,2014,267053,6587.04,1410.0,16315.0
Dominican Republic,Potatoes,2015,266815,5028.43,1410.0,15720.0
Dominican Republic,Potatoes,2016,267138,5874.45,1410.0,15965.0
Dominican Republic,Potatoes,2017,267181,6815.45,1410.0,15295.0
Dominican Republic,Potatoes,2018,266671,7069.45,1410.0,16474.21
Dominican Republic,Potatoes,2019,268521,7069.45,1410.0,11151.83
Ecuador,Potatoes,2009,58531,9666.87,2274.0,18598.0
Ecuador,Potatoes,2010,87422,31637.12,2274.0,22723.52
Ecuador,Potatoes,2011,77752,17529.44,2274.0,29926.56
Ecuador,Potatoes,2014,126795,33573.94,2274.0,46904.71
Ecuador,Potatoes,2015,133830,44564.66,2274.0,30803.66
Ecuador,Potatoes,2016,142599,39239.6,2274.0,19119.4
Ecuador,Potatoes,2017,127740,37808.0,2274.0,41224.2
Ecuador,Potatoes,2018,121816,37408.2,2274.0,73663.3
Ecuador,Potatoes,2019,139946,34081.3,2274.0,33994.4
Egypt,Potatoes,2009,264241,9013.0,18.1,168247.0
Egypt,Potatoes,2010,259211,11590.0,18.1,310000.0
Egypt,Potatoes,2011,264311,12945.0,18.1,265000.0
Egypt,Potatoes,2012,268531,13991.0,18.1,400000.0
Egypt,Potatoes,2013,266276,13653.0,18.1,400000.0
Egypt,Potatoes,2014,268077,11363.0,18.1,400000.0
Egypt,Potatoes,2015,269646,8043.71,18.1,400000.0
Egypt,Potatoes,2016,259936,11523.61,18.1,400000.0
El Salvador,Potatoes,2009,252417,3333.88,1784.0,15670.0
El Salvador,Potatoes,2010,252796,3598.59,1784.0,100256.0
El Salvador,Potatoes,2011,196316,3231.13,1784.0,88261.0
El Salvador,Potatoes,2015,260109,1747.35,1784.0,170.1
El Salvador,Potatoes,2016,255355,1419.2,1784.0,2571.91
El Salvador,Potatoes,2017,292208,3133.73,1784.0,1080.22
El Salvador,Potatoes,2018,291686,2955.68,1784.0,1303.21
El Salvador,Potatoes,2019,263801,2525.72,1784.0,1219.66
Estonia,Potatoes,2009,152752,402.0,626.0,29659.0
Estonia,Potatoes,2010,174562,514.0,626.0,84782.51
Estonia,Potatoes,2011,178361,460.0,626.0,106127.0
Fiji,Potatoes,2009,79438,709.7,2592.0,2165.0
Fiji,Potatoes,2010,71774,689.97,2592.0,82.0
Fiji,Potatoes,2011,71085,710.1,2592.0,83.0
Finland,Potatoes,2009,286098,4804.83,536.0,208.0
Finland,Potatoes,2010,261548,3806.97,536.0,271.0
Finland,Potatoes,2011,275943,4043.94,536.0,267.0
France,Potatoes,2009,437856,63676.0,867.0,146000.0
France,Potatoes,2010,421566,61903.0,867.0,401600.0
France,Potatoes,2011,468991,61351.89,867.0,385000.0
France,Potatoes,2012,413769,63844.29,867.0,790031.0
France,Potatoes,2013,431560,66676.69,867.0,742923.0
France,Potatoes,2014,479779,75339.2,867.0,943335.0
France,Potatoes,2015,425052,66896.92,867.0,867036.0
France,Potatoes,2016,388267,72064.82,867.0,695140.0
France,Potatoes,2017,440460,70603.5,867.0,749905.0
France,Potatoes,2018,393886,85072.22,867.0,607012.41
France,Potatoes,2019,413227,54366.97,867.0,592284.53
Georgia,Potatoes,2009,120444,3081.1,1026.0,215.9
Greece,Potatoes,2009,207007,3404.4,652.0,146405.0
Greece,Potatoes,2010,206835,5607.7,652.0,230833.0
Greece,Potatoes,2011,202160,8189.8,652.0,415453.0
Guatemala,Potatoes,2009,252535,13276.7,1996.0,9859.0
Guatemala,Potatoes,2010,252547,14898.25,1996.0,40344.0
Guatemala,Potatoes,2011,255064,16540.71,1996.0,37887.0
Guinea,Potatoes,2009,89880,449.26,1651.0,388.0
Guinea,Potatoes,2010,59840,556.24,1651.0,490.0
Guinea,Potatoes,2011,56960,663.23,1651.0,17291.0
Guinea,Potatoes,2016,261481,163.96,1651.0,1620.0
Guinea,Potatoes,2017,171064,206.3,1651.0,12015.0
Guinea,Potatoes,2018,128755,108.5,1651.0,11709.52
Honduras,Potatoes,2009,166654,4344.36,1976.0,6624.0
Honduras,Potatoes,2010,146252,5736.63,1976.0,14868.0
Honduras,Potatoes,2011,159629,6324.41,1976.0,27204.0
Hungary,Potatoes,2009,251082,11144.0,589.0,172401.0
Hungary,Potatoes,2010,217319,10299.5,589.0,191716.0
Hungary,Potatoes,2011,285714,8473.26,589.0,238658.0
Hungary,Potatoes,2012,218385,8141.23,589.0,55793.0
Hungary,Potatoes,2013,232630,7767.34,589.0,62760.0
Hungary,Potatoes,2014,270462,9003.86,589.0,79735.0
Hungary,Potatoes,2015,241264,9483.76,589.0,52822.0
Hungary,Potatoes,2016,261659,9763.86,589.0,51712.0
Hungary,Potatoes,2017,246182,9756.22,589.0,79140.0
Hungary,Potatoes,2018,242472,8535.05,589.0,61155.0
Hungary,Potatoes,2019,258495,7814.98,589.0,58994.0
Iceland,Potatoes,2009,133427,4.37,1940.0,23203.0
Iceland,Potatoes,2010,175000,2.73,1940.0,33417.0
Iceland,Potatoes,2011,139961,3.43,1940.0,30545.0
Iceland,Potatoes,2012,192079,3.14,1940.0,32614.0
Iceland,Potatoes,2014,138333,3.88,1940.0,31456.0
Iceland,Potatoes,2015,150833,4.08,1940.0,30617.0
Iceland,Potatoes,2016,165500,3.0,1940.0,31890.0
Iceland,Potatoes,2017,150000,2.0,1940.0,34320.0
Iceland,Potatoes,2018,100333,2.0,1940.0,33442.0
Iceland,Potatoes,2019,136667,0.98,1940.0,31088.0
India,Potatoes,2009,188103,28707.01,1083.0,484570.0
India,Potatoes,2010,199299,40093.69,1083.0,532300.0
India,Potatoes,2011,227240,55540.0,1083.0,500270.0
India,Potatoes,2012,217530,52980.0,1083.0,3113120.0
India,Potatoes,2013,227606,45620.0,1083.0,3203120.0
India,Potatoes,2014,229224,56267.67,1083.0,3847510.0
India,Potatoes,2015,231257,56720.12,1083.0,4261240.0
India,Potatoes,2016,205087,58634.43,1083.0,4010500.0
India,Potatoes,2017,223061,63405.78,1083.0,4229800.0
India,Potatoes,2018,239542,59669.93,1083.0,4406200.0
India,Potatoes,2019,230971,61701.9,1083.0,4635700.0
Indonesia,Potatoes,2009,165123,260714.84,2702.0,1666517.0
Indonesia,Potatoes,2010,159445,313639.25,2702.0,1804413.0
Indonesia,Potatoes,2011,159562,206061.7,2702.0,2124474.0
Indonesia,Potatoes,2012,165820,254912.71,2702.0,2478399.0
Indonesia,Potatoes,2013,160184,314990.4,2702.0,2443456.0
Indonesia,Potatoes,2014,176668,253450.88,2702.0,2672052.0
Indonesia,Potatoes,2015,182027,313069.12,2702.0,2705807.0
Indonesia,Potatoes,2016,182549,349797.63,2702.0,2933716.0
Indonesia,Potatoes,2017,154044,279005.69,2702.0,2597586.0
Indonesia,Potatoes,2018,187056,261305.81,2702.0,2802246.0
Indonesia,Potatoes,2019,192701,274421.03,2702.0,3088176.0
Iraq,Potatoes,2009,113307,850.42,216.0,257616.0
Iraq,Potatoes,2010,157177,744.33,216.0,911520.0
Ireland,Potatoes,2009,275492,2268.1,1118.0,181041.0
Ireland,Potatoes,2010,343934,2529.2,1118.0,393460.0
Ireland,Potatoes,2011,342404,3713.76,1118.0,339205.0
Ireland,Potatoes,2012,257778,2801.78,1118.0,272437.0
Ireland,Potatoes,2013,383271,2935.81,1118.0,324690.0
Ireland,Potatoes,2014,403158,3392.34,1118.0,274230.0
Ireland,Potatoes,2015,423647,3503.61,1118.0,255204.0
Ireland,Potatoes,2016,391111,3112.53,1118.0,292836.0
Ireland,Potatoes,2017,449314,2942.02,1118.0,307084.0
Ireland,Potatoes,2018,331725,2651.36,1118.0,928566.0
Ireland,Potatoes,2019,441027,2971.77,1118.0,836020.0
Italy,Potatoes,2009,248352,74172.0,832.0,452369.0
Italy,Potatoes,2010,249684,71613.0,832.0,511237.0
Italy,Potatoes,2011,249158,70690.0,832.0,535944.0
Italy,Potatoes,2012,254511,61889.0,832.0,573112.0
Italy,Potatoes,2015,271561,63322.0,832.0,368193.0
Italy,Potatoes,2016,284374,60259.0,832.0,426366.0
Italy,Potatoes,2017,277313,56641.0,832.0,377976.0
Italy,Potatoes,2018,281628,54153.0,832.0,347346.0
Italy,Potatoes,2019,285928,48567.0,832.0,276239.0
Jamaica,Potatoes,2009,169416,1252.09,2051.0,1508.0
Jamaica,Potatoes,2010,142411,1034.18,2051.0,1859.0
Jamaica,Potatoes,2011,190236,1108.54,2051.0,1670.0
Japan,Potatoes,2009,295909,60970.8,1668.0,1298373.0
Japan,Potatoes,2010,277576,55576.0,1668.0,1356561.0
Japan,Potatoes,2011,294691,51796.3,1668.0,1363509.0
Jordan,Potatoes,2010,301761,932.8,111.0,43000.0
Jordan,Potatoes,2011,367856,1111.9,111.0,18301.0
Kenya,Potatoes,2009,191199,2181.52,630.0,89516.0
Kenya,Potatoes,2010,224279,2757.77,630.0,110750.0
Kenya,Potatoes,2011,191690,3143.67,630.0,199784.0
Kenya,Potatoes,2018,86067,6073.6,630.0,18089.0
Kenya,Potatoes,2019,92919,6587.2,630.0,47276.0
Kuwait,Potatoes,2011,402467,1536.94,121.0,2349.0
Kyrgyzstan,Potatoes,2009,159993,266.8,533.0,40.0
Kyrgyzstan,Potatoes,2010,159644,350.1,533.0,100.0
Kyrgyzstan,Potatoes,2011,162543,312.9,533.0,220.0
Kyrgyzstan,Potatoes,2015,167642,516.0,533.0,400.0
Kyrgyzstan,Potatoes,2016,168994,533.0,533.0,1000.0
