Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","068","Bolivia (Plurinational State of)","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","2341","I","Imputed value"
"RFB","Fertilizers by Product","068","Bolivia (Plurinational State of)","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","8434.33","I","Imputed value"
"RFB","Fertilizers by Product","068","Bolivia (Plurinational State of)","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","20019.77","I","Imputed value"
"RFB","Fertilizers by Product","070","Bosnia and Herzegovina","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","28909","I","Imputed value"
"RFB","Fertilizers by Product","070","Bosnia and Herzegovina","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","63786.3","I","Imputed value"
"RFB","Fertilizers by Product","070","Bosnia and Herzegovina","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","59086.25","I","Imputed value"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","5027.26","I","Imputed value"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","2534.25","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4021","NPK fertilizers","2012","2012","t","886","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4021","NPK fertilizers","2013","2013","t","1061","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4021","NPK fertilizers","2014","2014","t","4566","A","Official figure"
"RFB","Fertilizers by Product","076","Brazil","5157","Agricultural Use","4021","NPK fertilizers","2013","2013","t","0","I","Imputed value"
"RFB","Fertilizers by Product","096","Brunei Darussalam","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","790","I","Imputed value"
"RFB","Fertilizers by Product","096","Brunei Darussalam","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","3276.7","I","Imputed value"
"RFB","Fertilizers by Product","096","Brunei Darussalam","5157","Agricultural Use","4021","NPK fertilizers","2012","2012","t","320","A","Official figure"
"RFB","Fertilizers by Product","096","Brunei Darussalam","5157","Agricultural Use","4021","NPK fertilizers","2013","2013","t","160","A","Official figure"
"RFB","Fertilizers by Product","096","Brunei Darussalam","5157","Agricultural Use","4021","NPK fertilizers","2014","2014","t","313","A","Official figure"
"RFB","Fertilizers by Product","096","Brunei Darussalam","5157","Agricultural Use","4021","NPK fertilizers","2015","2015","t","703","A","Official figure"
"RFB","Fertilizers by Product","100","Bulgaria","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","18264","I","Imputed value"
"RFB","Fertilizers by Product","100","Bulgaria","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","41156","I","Imputed value"
"RFB","Fertilizers by Product","100","Bulgaria","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","70163","I","Imputed value"
"RFB","Fertilizers by Product","854","Burkina Faso","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","51484","I","Imputed value"
"RFB","Fertilizers by Product","854","Burkina Faso","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","71368","I","Imputed value"
"RFB","Fertilizers by Product","108","Burundi","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","172","I","Imputed value"
"RFB","Fertilizers by Product","108","Burundi","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","669","I","Imputed value"
"RFB","Fertilizers by Product","108","Burundi","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","903","I","Imputed value"
"RFB","Fertilizers by Product","108","Burundi","5157","Agricultural Use","4021","NPK fertilizers","2013","2013","t","566","A","Official figure"
"RFB","Fertilizers by Product","108","Burundi","5157","Agricultural Use","4021","NPK fertilizers","2014","2014","t","437","A","Official figure"
"RFB","Fertilizers by Product","108","Burundi","5157","Agricultural Use","4021","NPK fertilizers","2015","2015","t","662","A","Official figure"
"RFB","Fertilizers by Product","108","Burundi","5157","Agricultural Use","4021","NPK fertilizers","2016","2016","t","1085.38","A","Official figure"
"RFB","Fertilizers by Product","116","Cambodia","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","6562","I","Imputed value"
"RFB","Fertilizers by Product","116","Cambodia","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","6839","I","Imputed value"
"RFB","Fertilizers by Product","116","Cambodia","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","11283","I","Imputed value"
"RFB","Fertilizers by Product","120","Cameroon","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","1911","A","Official figure"
"RFB","Fertilizers by Product","120","Cameroon","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","24041","A","Official figure"
"RFB","Fertilizers by Product","120","Cameroon","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","7744","A","Official figure"
"RFB","Fertilizers by Product","124","Canada","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","93209","I","Imputed value"
"RFB","Fertilizers by Product","124","Canada","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","26486","I","Imputed value"
"RFB","Fertilizers by Product","140","Central African Republic","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","390","I","Imputed value"
"RFB","Fertilizers by Product","152","Chile","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","5695","I","Imputed value"
"RFB","Fertilizers by Product","152","Chile","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","6236.92","I","Imputed value"
"RFB","Fertilizers by Product","152","Chile","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","6365.11","I","Imputed value"
"RFB","Fertilizers by Product","152","Chile","5157","Agricultural Use","4021","NPK fertilizers","2012","2012","t","9566","A","Official figure"
"RFB","Fertilizers by Product","152","Chile","5157","Agricultural Use","4021","NPK fertilizers","2013","2013","t","12330","A","Official figure"
"RFB","Fertilizers by Product","152","Chile","5157","Agricultural Use","4021","NPK fertilizers","2014","2014","t","7558","A","Official figure"
"RFB","Fertilizers by Product","152","Chile","5157","Agricultural Use","4021","NPK fertilizers","2015","2015","t","9314","A","Official figure"
"RFB","Fertilizers by Product","152","Chile","5157","Agricultural Use","4021","NPK fertilizers","2016","2016","t","9675.77","A","Official figure"
"RFB","Fertilizers by Product","344","China, Hong Kong SAR","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","43","I","Imputed value"
"RFB","Fertilizers by Product","344","China, Hong Kong SAR","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","2040","I","Imputed value"
"RFB","Fertilizers by Product","344","China, Hong Kong SAR","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","1262","I","Imputed value"
"RFB","Fertilizers by Product","446","China, Macao SAR","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","13","I","Imputed value"
"RFB","Fertilizers by Product","446","China, Macao SAR","5157","Agricultural Use","4021","NPK fertilizers","2012","2012","t","0","A","Official figure"
"RFB","Fertilizers by Product","446","China, Macao SAR","5157","Agricultural Use","4021","NPK fertilizers","2013","2013","t","0","A","Official figure"
"RFB","Fertilizers by Product","446","China, Macao SAR","5157","Agricultural Use","4021","NPK fertilizers","2014","2014","t","0","A","Official figure"
"RFB","Fertilizers by Product","446","China, Macao SAR","5157","Agricultural Use","4021","NPK fertilizers","2015","2015","t","0","A","Official figure"
"RFB","Fertilizers by Product","446","China, Macao SAR","5157","Agricultural Use","4021","NPK fertilizers","2016","2016","t","0","A","Official figure"
